Producent,Typer,Koder,KodeBeskrivelser,Fejl,Prioritering,Løsningsforslag,Varenumer prioritet 1,Varenummer prioritet 2,Varenummer prioritet 3,KodeBeskrivelser (service),Fejl (service),Spørgsmål 1,Spørgsmål 2,Spørgsmål 3,Kunden kan prøve,Send tekniker ja / nej,URL-links,URL-links_Kundeserviceinformationer,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Thermoplan,BW4,Coffee.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",3.0,"Kontrollér, at både ""fix piston"" (130790) og ""moving piston"" (130861) har ubesværet mobilitet, og at der ikke forekommer nogen defekter på disse enheder. Sidder den blå 'Cuff' korrekt? OBS! Den indre del af pistonen kan side på to måder hvoraf kún den ene måde låser de to dele sammen korrekt.",130790,130861.0,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Kaffe-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Coffee.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",4.0,"Kontroller, om brygmotoren kan aktiveres (frem og tilbage) inde i systemet under ""Advanceret"". Det skal kunne høres at bryghuset kører frem og tilbage.",,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Kaffe-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Coffee.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",5.0,"Efterse, om tandremen (131096) for bryghuset.",131096,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Kaffe-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Coffee.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",6.0,Inspicér ledningsnettet for brygmotoren (129501).,,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Kaffe-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Coffee.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",7.0,Udskift brygmotoren (129501).,129501,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Kaffe-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Espresso.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",1.0,"Kontroller, at bryghuset ikke bliver blokeret af kafferester, og at bryghuset har korrekt mobilitet henover ""fix piston"".",,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Espresso-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Espresso.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",2.0,"Kalibrer kværnmængderne inde i systemet, og sikre dig samtidigt at produktrecepterne er indstillet efter Bentax's grundrecepter. OBS! Indstil ISQ efter kalibrering af drikke.",,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Espresso-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Espresso.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",3.0,"Kontrollér, at både ""fix piston"" (130790) og ""moving piston"" (130861) har ubesværet mobilitet, og at der ikke forekommer nogen defekter på disse enheder. Sidder den blå 'Cuff' korrekt? OBS! Den indre del af pistonen kan side på to måder hvoraf kún den ene måde låser de to dele sammen korrekt.",130790,130861.0,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Espresso-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Espresso.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",4.0,"Kontroller, om brygmotoren kan aktiveres (frem og tilbage) inde i systemet under ""Advanceret"". Det skal kunne høres at bryghuset kører frem og tilbage.",,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Espresso-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Espresso.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",5.0,"Efterse, om tandremen (131096) for bryghuset.",131096,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Espresso-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Espresso.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",6.0,Inspicér ledningsnettet for brygmotoren (129501).,,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Espresso-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Espresso.Coffee.BrewChamberPress: BrewChamber: Position is not sealed (xx.xx instead of yy.yy),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",7.0,Udskift brygmotoren (129501).,129501,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Hvilket produkt er det i forbindelse med?,Espresso-produktet,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,_Rinse.CoffeeRinse.MC.CloseBrewChamber: Position is not sealed (xx.xx instead of yy.yy mm),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",1.0,"Kontroller, at bryghuset ikke bliver blokeret af kafferester, og at bryghuset har korrekt mobilitet henover ""fix piston"".",,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Er det i forbindelse med skylleprogrammet?,,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,_Rinse.CoffeeRinse.MC.CloseBrewChamber: Position is not sealed (xx.xx instead of yy.yy mm),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",2.0,"Kalibrer kværnmængderne inde i systemet, og sikre dig samtidigt at produktrecepterne er indstillet efter Bentax's grundrecepter. OBS! Indstil ISQ efter kalibrering af drikke.",,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Er det i forbindelse med skylleprogrammet?,,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,_Rinse.CoffeeRinse.MC.CloseBrewChamber: Position is not sealed (xx.xx instead of yy.yy mm),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",3.0,"Kontrollér, at både ""fix piston"" (130790) og ""moving piston"" (130861) har ubesværet mobilitet, og at der ikke forekommer nogen defekter på disse enheder. Sidder den blå 'Cuff' korrekt? OBS! Den indre del af pistonen kan side på to måder hvoraf kún den ene måde låser de to dele sammen korrekt.",130790,130861.0,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Er det i forbindelse med skylleprogrammet?,,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,_Rinse.CoffeeRinse.MC.CloseBrewChamber: Position is not sealed (xx.xx instead of yy.yy mm),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",4.0,"Kontroller, om brygmotoren kan aktiveres (frem og tilbage) inde i systemet under ""Advanceret"". Det skal kunne høres at bryghuset kører frem og tilbage.",,,,,,,,,,,,,,,,,,,,,
Thermoplan,BW4,_Rinse.CoffeeRinse.MC.CloseBrewChamber: Position is not sealed (xx.xx instead of yy.yy mm),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",5.0,"Efterse, om tandremen (131096) for bryghuset.",131096,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Er det i forbindelse med skylleprogrammet?,,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,_Rinse.CoffeeRinse.MC.CloseBrewChamber: Position is not sealed (xx.xx instead of yy.yy mm),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",6.0,Inspicér ledningsnettet for brygmotoren (129501).,,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Er det i forbindelse med skylleprogrammet?,,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,_Rinse.CoffeeRinse.MC.CloseBrewChamber: Position is not sealed (xx.xx instead of yy.yy mm),Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",7.0,Udskift brygmotoren (129501).,129501,,,Coffee quantity too high (36),"Brygkammeret er ikke lukket korrekt, og positionen af brygkammeret afviger fra den forventede position.",Er det i forbindelse med skylleprogrammet?,,,Efterse om grumsebeholderen er tømt,Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETHvA_IzHn9OhLspeUABWD4B1VGzdk4Sv1II6Fcr5x5gOQ?e=Vwl4wu,,,,,,,,,
Thermoplan,BW4,Milk container X empty during dispensing (37),Milk container X empty during dispensing (37),Meddelelse om at maskinen registrere et tomt mælkeniveau under produktdispenseringen.,1.0,Meddelelse om at maskinen registrere et tomt mælkeniveau under produktdispenseringen. Kontroller at mælkesuget ikke er blokeret.,,,,Milk container X empty during dispensing (37),Meddelelse om at maskinen registrere et tomt mælkeniveau under produktdispenseringen.,,,,"Påfyld mælk, og kontroller at mælkesuget i køleskabet ikke er blokeret.",Send tekniker,,https://bentax.sharepoint.com/:b:/g/ETPraeZAS0hDuD_Q8XW1JFYBcSzA7Gp41u9wRlq3lYYlcg?e=7BVpl4,,,,,,,,,
Thermoplan,BW4,_BrewChamberinit.Initialize: Mainboard: Motor index 3 position control relative failed (MotorSafetyStop),Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen. Positionen af brygkammeret afviger fra den forventede position.,1.0,"Kontroller at det mekaniske modul er korrekt skubbet på plads, og har fuld kontakt til dets stik på chassiet.",,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen. Positionen af brygkammeret afviger fra den forventede position.,,,,,,,,,,,,,,,,
Thermoplan,BW4,"Espresso.Coffee.BrewChamberPress: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold,ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,Er det i forbindelse med et produkt?,Espresso-produktet,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"Cappuccino.Coffee.BrewChamberPress: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold,ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,Er det i forbindelse med et produkt?,Latte-produktet,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"Milk Coffee.Coffee.BrewChamberPress: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold,ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,Er det i forbindelse med et produkt?,Cappuccino-produktet,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"Coffee.Coffee.BrewChamberPress: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold,ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,Er det i forbindelse med et produkt?,Kaffe-produktet,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"_Rinse.CoffeeRinse.MC.CloseBrewChamberSeal.WaitForMotorStop: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InCurrentControl,Running,RampingDown,ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen.,Er det i forbindelse med skylleprogrammet?,,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"Espresso.Coffee.CoffeePourBrew.Coffee.BrewChamberStatus: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold, ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,Er det i forbindelse med skylleprogrammet?,,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"Coffee.Coffee.CoffeePourBrew.Coffee.BrewChamberStatus: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold, ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,Er det i forbindelse med skylleprogrammet?,,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"Americano.Coffee.CoffeePourBrew.Coffee.BrewChamberStatus: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold, ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,Er det i forbindelse med skylleprogrammet?,,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"Cappuccino.Coffee.CoffeePourBrew.Coffee.BrewChamberStatus: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold, ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,Er det i forbindelse med skylleprogrammet?,,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,"Milk Coffee.Coffee.CoffeePourBrew.Coffee.BrewChamberStatus: Mainboard.MotorBrewChamber (index 3): Motor index 3 status error (InHold, ErrorSafetyStop)",Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,1.0,Kontroller alle 'reed'-kontakterne og magneterne på komponenterne. Bønnebeholderne og grumseskuffe.,,,,Safety interruption (38),Der er opstået et sikkerhedsstop af maskinen under produktudleveringen.,Er det i forbindelse med skylleprogrammet?,,,"Kontroller at grumseskuffen er indsat korrekt (skuppet helt ind), og at bønnebeholderne er placeret korrekt og låst.",,,,,,,,,,,,
Thermoplan,BW4,Firmware update in progress (39),Firmware update in progress (39),Generel meddelelse om at maskinen er ved at opdatere. Sluk ikke maskinen.,1.0,"Sluk ikke maskinen under opdateringsprocessen. Hvis maskinen ikke er færdig indenfor 5 minutter, sluk maskinen og opdater maskinen igen.",,,,Firmware update in progress (39),Generel meddelelse om at maskinen er ved at opdatere. Sluk ikke maskinen.,,,,Generel meddelelse om at maskinen er ved at opdatere. Sluk ikke maskinen.,,,,,,,,,,,,
Thermoplan,BW4,Pulvermodulets dæksel åbnet (42),Pulvermodulets dæksel åbnet (42),Maskinen registrere ikke kakaodækslet (fronten),1.0,Efterse at kakaodækslet ikke bliver blokeret for at blive lukket helt,,,,Pulvermodulets dæksel åbnet (42),Maskinen registrere ikke kakaodækslet (fronten),,,,Efterse om der er en blokering af kakaodækslet.,,,https://bentax.sharepoint.com/:b:/g/EZFVdoOprNFBpjb_q-1gcOoByiYmkFw85PGAcy5qkC3Nww?e=ebobE5 ,,,,,,,,,
Thermoplan,BW4,Pulvermodulets dæksel åbnet (42),Pulvermodulets dæksel åbnet (42),Maskinen registrere ikke kakaodækslet (fronten),2.0,Test 'reed'-kontakten i brunden af kakaomodulet - dette kan gøre ved at påsætte en magnet på 'reed'-kontakten og udføre en kontiunitetstest med et multimeter.,,,,Pulvermodulets dæksel åbnet (42),Maskinen registrere ikke kakaodækslet (fronten),,,,Efterse om der er en blokering af kakaodækslet.,,,https://bentax.sharepoint.com/:b:/g/EZFVdoOprNFBpjb_q-1gcOoByiYmkFw85PGAcy5qkC3Nww?e=ebobE5 ,,,,,,,,,
Thermoplan,BW4,Error chassis fan (44),Error chassis fan (44),Der er blevet registreret en fejl i chassis-ventilatoren.,1.0,Kontroller ledningsnettet for chassis-ventilatoren (127422),127422,,,Error chassis fan (44),Der er blevet registreret en fejl i chassis-ventilatoren.,,,,Kunden kan desværre ikke gøre noget.,,,,,,,,,,,,
Thermoplan,BW4,Service is recommended (46),Service is recommended (46),Generel meddelelse om at maskinen snart skal have service.,1.0,Generel meddelelse om at maskinen snart skal have service.,,,,Service is recommended (46),Generel meddelelse om at maskinen snart skal have service.,,,,"Generel servicemeddelelse. Maskinen begynder at melde ""service anbefalet"" ca. 1 måned før den melder ""service påkrævet""",,,,,,,,,,,,
Thermoplan,BW4,Service required (47),Service required (47),Generel meddelelse om at maskinen skal have service.,1.0,Generel meddelelse om at maskinen skal have service.,,,,Service required (47),Generel meddelelse om at maskinen skal have service.,,,,Generel servicemeddelelse. Maskinen er stadig fuldt funktionel. Der kommer en tekniker når vi har alle delene til servicen.,,,,,,,,,,,,
Thermoplan,BW4,Water filter change recommended (49),Water filter change recommended (49),Vandfilteret har nået dets anbefalede filterskift-kapacitet.,1.0,Skift vandfilteret og nulstil filtertælleren.,,,,Water filter change recommended (49),Vandfilteret har nået dets anbefalede filterskift-kapacitet.,,,,"Informer kunden om at Bentax sætter denne filterkapacitet et relativt godt stykke under maks. Kapaciteten, og at filterkapacitetes reelle størrelse ikke burde blive overskredet før om et par uger.",,,,,,,,,,,,
Thermoplan,BW4,Water filter change required (50),Water filter change required (50),Vandfilteret har nået dets filterskift-kapacitet.,1.0,Skift vandfilteret og nulstil filtertælleren.,,,,Water filter change required (50),Vandfilteret har nået dets filterskift-kapacitet.,,,,"Informer kunden om at Bentax sætter denne filterkapacitet et relativt godt stykke under maks. Kapaciteten, og at filterkapacitetes reelle størrelse ikke burde blive overskredet før om et par uger.

Hvis kunden selv skiftet filteret skal de gå ind med teknikerkoden (514415). Trykke på statestik, og slette ""Filtertælleren"".",,,,,,,,,,,,
Thermoplan,BW4,Door of the flavor module is open (52),Door of the flavor module is open (52),Maskinen registrere ikke sirupdøren,1.0,Efterse at sirupskuffen ikke bliver blokeret for at blive lukket helt,,,,Door of the flavor module is open (52),Maskinen registrere ikke sirupdøren,,,,Efterse om der er en blokering af sirupskuffen.,,,,,,,,,,,,
Thermoplan,BW4,Door of the flavor module is open (52),Door of the flavor module is open (52),Maskinen registrere ikke sirupdøren,2.0,Test 'reed'-kontakten i brunden af skuffen - dette kan gøre ved at påsætte en magnet på 'reed'-kontakten og udføre en kontiunitetstest med et multimeter.,,,,Door of the flavor module is open (52),Maskinen registrere ikke sirupdøren,,,,Efterse om der er en blokering af sirupskuffen.,,,,,,,,,,,,
Thermoplan,BW4,Extration time too long (53),Extration time too long (53),Udleveringstiden for kaffeproduktet er overskredet den fastsatte tidsgrænse.,1.0,"Kontroller, om ekstrationstiden for produkterne er sat korrekt. ",,,,Extration time too long (53),Udleveringstiden for kaffeproduktet er overskredet den fastsatte tidsgrænse.,,,,"Kunden kan efterse om der er åbent for vandet til maskinen, og om grumsebeholderen er tom.",Send tekniker,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
Thermoplan,BW4,Extration time too long (53),Extration time too long (53),Udleveringstiden for kaffeproduktet er overskredet den fastsatte tidsgrænse.,2.0,Efterse gennemgang af brygkammeret når bryghuset er placeret over fixed piston - er der fri gennemgang? Tag evt en af ventilerne af.,,,,Extration time too long (53),Udleveringstiden for kaffeproduktet er overskredet den fastsatte tidsgrænse.,,,,"Kunden kan efterse om der er åbent for vandet til maskinen, og om grumsebeholderen er tom.",Send tekniker,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
Thermoplan,BW4,Extration time too long (53),Extration time too long (53),Udleveringstiden for kaffeproduktet er overskredet den fastsatte tidsgrænse.,3.0,"Kontroller, om 'Coffee Outlet Valve' kan aktiveres inde i systemet. Når den aktiveres, skal der høres et ""klik"". Hvis der ikke høres et ""klik, skal du undersøge ledningsnettet for ventilen, samt teste ventilspolen.",,,,Extration time too long (53),Udleveringstiden for kaffeproduktet er overskredet den fastsatte tidsgrænse.,,,,"Kunden kan efterse om der er åbent for vandet til maskinen, og om grumsebeholderen er tom.",Send tekniker,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
